CVE,Code,Severity
CVE-2004-0157,1,4.6 MEDIUM
CVE-2004-0158,1,4.6 MEDIUM
CVE-2004-0175,1,4.3 MEDIUM
CVE-2004-0180,1,2.6 LOW
CVE-2004-0183,1,5.0 MEDIUM
CVE-2004-0184,1,5.0 MEDIUM
CVE-2004-0186,1,7.2 HIGH
CVE-2004-0188,1,7.2 HIGH
CVE-2004-0189,1,7.5 HIGH
CVE-2004-0224,1,7.5 HIGH
CVE-2004-0226,1,10.0 HIGH
CVE-2004-0227,1,7.5 HIGH
CVE-2004-0230,1,5.0 MEDIUM
CVE-2004-0231,1,2.1 LOW
CVE-2004-0232,1,5.0 MEDIUM
CVE-2004-0256,1,2.1 LOW
CVE-2004-0270,1,5.0 MEDIUM
CVE-2004-0274,1,7.5 HIGH
CVE-2004-0333,1,10.0 HIGH
CVE-2004-0371,1,5.0 MEDIUM
CVE-2004-0372,1,2.1 LOW
CVE-2004-0386,1,10.0 HIGH
CVE-2004-0393,1,10.0 HIGH
CVE-2004-0395,1,7.2 HIGH
CVE-2004-0396,1,7.5 HIGH
CVE-2004-0397,1,7.5 HIGH
CVE-2004-0398,1,7.5 HIGH
CVE-2004-0399,1,7.5 HIGH
CVE-2004-0400,1,7.5 HIGH
CVE-2004-0404,1,1.2 LOW
CVE-2004-0405,1,5.0 MEDIUM
CVE-2004-0408,1,7.5 HIGH
CVE-2004-0409,1,7.5 HIGH
CVE-2004-0412,1,5.0 MEDIUM
CVE-2004-0413,1,10.0 HIGH
CVE-2004-0414,1,10.0 HIGH
CVE-2004-0416,1,10.0 HIGH
CVE-2004-0417,1,5.0 MEDIUM
CVE-2004-0418,1,10.0 HIGH
CVE-2004-0422,1,2.1 LOW
CVE-2004-0423,1,2.1 LOW
CVE-2004-0426,1,5.0 MEDIUM
CVE-2004-0433,1,10.0 HIGH
CVE-2004-0434,1,9.8 CRITICAL
CVE-2004-0451,1,10.0 HIGH
CVE-2004-0452,1,2.6 LOW
CVE-2004-0453,1,7.2 HIGH
CVE-2004-0454,1,7.2 HIGH
CVE-2004-0458,1,7.5 HIGH
CVE-2004-0488,1,7.5 HIGH
CVE-2004-0493,1,6.4 MEDIUM
CVE-2004-0523,1,10.0 HIGH
CVE-2004-0536,1,7.2 HIGH
CVE-2004-0541,1,10.0 HIGH
CVE-2004-0548,1,7.2 HIGH
CVE-2004-0557,1,10.0 HIGH
CVE-2004-0558,1,5.0 MEDIUM
CVE-2004-0560,1,7.5 HIGH
CVE-2004-0561,1,7.5 HIGH
CVE-2004-0564,1,2.1 LOW
CVE-2004-0579,1,7.2 HIGH
CVE-2004-0591,1,6.8 MEDIUM
CVE-2004-0600,1,10.0 HIGH
CVE-2004-0601,1,7.5 HIGH
CVE-2004-0640,1,10.0 HIGH
CVE-2004-0642,1,7.5 HIGH
CVE-2004-0643,1,4.6 MEDIUM
CVE-2004-0644,1,5.0 MEDIUM
CVE-2004-0645,1,10.0 HIGH
CVE-2004-0647,1,4.6 MEDIUM
CVE-2004-0656,1,5.0 MEDIUM
CVE-2004-0657,1,5.0 MEDIUM
CVE-2004-0686,1,5.0 MEDIUM
CVE-2004-0708,1,7.5 HIGH
CVE-2004-0747,1,7.8 HIGH
CVE-2004-0748,1,5.0 MEDIUM
CVE-2004-0749,1,5.0 MEDIUM
CVE-2004-0751,1,5.0 MEDIUM
CVE-2004-0753,1,5.0 MEDIUM
CVE-2004-0770,1,2.1 LOW
CVE-2004-0772,1,9.8 CRITICAL
CVE-2004-0777,1,7.5 HIGH
CVE-2004-0778,1,5.0 MEDIUM
CVE-2004-0782,1,7.5 HIGH
CVE-2004-0783,1,7.5 HIGH
CVE-2004-0786,1,5.0 MEDIUM
CVE-2004-0788,1,5.0 MEDIUM
CVE-2004-0792,1,6.4 MEDIUM
CVE-2004-0793,1,7.2 HIGH
CVE-2004-0796,1,5.0 MEDIUM
CVE-2004-0797,1,2.1 LOW
CVE-2004-0801,1,7.5 HIGH
CVE-2004-0802,1,5.1 MEDIUM
CVE-2004-0803,1,7.5 HIGH
CVE-2004-0804,1,4.3 MEDIUM
CVE-2004-0805,1,7.5 HIGH
CVE-2004-0807,1,5.0 MEDIUM
CVE-2004-0808,1,5.0 MEDIUM
CVE-2004-0809,1,5.0 MEDIUM
CVE-2004-0811,1,7.5 HIGH
CVE-2004-0815,1,7.5 HIGH
CVE-2004-0827,1,7.5 HIGH
CVE-2004-0829,1,5.0 MEDIUM
CVE-2004-0832,1,5.0 MEDIUM
CVE-2004-0833,1,7.5 HIGH
CVE-2004-0851,1,2.1 LOW
CVE-2004-0880,1,1.2 LOW
CVE-2004-0881,1,2.1 LOW
CVE-2004-0882,1,10.0 HIGH
CVE-2004-0884,1,7.2 HIGH
CVE-2004-0885,1,7.5 HIGH
CVE-2004-0886,1,5.0 MEDIUM
CVE-2004-0888,1,10.0 HIGH
CVE-2004-0889,1,10.0 HIGH
CVE-2004-0911,1,5.0 MEDIUM
CVE-2004-0916,1,5.0 MEDIUM
CVE-2004-0918,1,5.0 MEDIUM
CVE-2004-0923,1,2.1 LOW
CVE-2004-0930,1,5.0 MEDIUM
CVE-2004-0938,1,5.0 MEDIUM
CVE-2004-0941,1,10.0 HIGH
CVE-2004-0942,1,5.0 MEDIUM
CVE-2004-0960,1,5.0 MEDIUM
CVE-2004-0961,1,5.0 MEDIUM
CVE-2004-0966,1,2.1 LOW
CVE-2004-0968,1,2.1 LOW
CVE-2004-0969,1,2.1 LOW
CVE-2004-0970,1,2.1 LOW
CVE-2004-0971,1,2.1 LOW
CVE-2004-0974,1,2.1 LOW
